"CODESTAB","CODMUNNASC","ANONASC","n_anomalias","n_nascimentos"
"0000296","431490",2010,1,71
"0000296","431490",2011,0,71
"0000296","431490",2012,0,88
"0000296","431490",2013,1,98
"0000296","431490",2014,1,75
"0000296","431490",2015,4,79
"0000296","431490",2016,5,103
"0000296","431490",2017,2,102
"0000296","431490",2018,0,63
"0000300","430040",2010,0,30
"0000300","430040",2011,0,33
"0000300","430040",2012,0,16
"0000300","430040",2013,1,38
"0000300","430040",2014,1,22
"0000300","430040",2015,0,10
"0000300","430040",2016,0,16
"0000300","430040",2017,0,1
"0000300","430040",2019,0,12
"0010537","530010",2010,0,1
"0010537","530010",2019,0,1
"0015717","410690",2010,0,1
"0015717","410690",2014,0,1
"0015717","410690",2016,0,1
"0015717","410690",2019,0,1
"0019283","420540",2010,0,2
"0019283","420540",2011,0,2
"0019283","420540",2014,0,3
"0019283","420540",2015,0,1
"0019283","420540",2017,0,1
"2078503","353730",2010,0,1
"2079542","355030",2010,0,1
"2079542","355030",2011,1,2
"2079542","355030",2012,1,1
"2079542","355030",2014,1,1
"2079542","355030",2016,1,1
"2079542","355030",2017,1,1
"2079542","355030",2018,0,2
"2080818","355030",2010,1,2
"2080818","355030",2012,1,2
"2080818","355030",2013,1,1
"2081113","354390",2010,0,1
"2081288","355030",2010,1,1
"2081288","355030",2013,1,1
"2081288","355030",2014,3,3
"2081288","355030",2016,1,1
"2081288","355030",2017,1,1
"2081288","355030",2018,1,2
"2081288","355030",2019,2,2
"2205939","313510",2010,0,1
"2223538","430510",2010,11,1452
"2223538","430510",2011,19,1480
"2223538","430510",2012,8,1411
"2223538","430510",2013,19,1568
"2223538","430510",2014,24,1596
"2223538","430510",2015,30,1854
"2223538","430510",2016,26,1800
"2223538","430510",2017,22,1831
"2223538","430510",2018,32,1892
"2223538","430510",2019,24,1823
"2223546","430510",2010,4,1986
"2223546","430510",2011,5,1913
"2223546","430510",2012,1,1830
"2223546","430510",2013,1,1914
"2223546","430510",2014,1,1879
"2223546","430510",2015,0,1799
"2223546","430510",2016,4,1614
"2223546","430510",2017,10,1552
"2223546","430510",2018,12,1492
"2223546","430510",2019,4,1535
"2223562","430510",2010,5,661
"2223562","430510",2011,7,679
"2223562","430510",2012,6,618
"2223562","430510",2013,5,470
"2223562","430510",2014,2,364
"2223562","430510",2015,2,369
"2223562","430510",2016,3,251
"2223562","430510",2017,0,226
"2223562","430510",2018,0,143
"2223562","430510",2019,0,23
"2223570","430510",2010,2,1446
"2223570","430510",2011,8,1787
"2223570","430510",2012,3,2016
"2223570","430510",2013,6,2028
"2223570","430510",2014,4,2282
"2223570","430510",2015,4,2408
"2223570","430510",2016,7,2045
"2223570","430510",2017,4,1901
"2223570","430510",2018,11,2081
"2223570","430510",2019,3,1552
"2223597","430510",2010,9,1242
"2223597","430510",2011,7,1218
"2223597","430510",2012,7,1102
"2223597","430510",2013,11,1211
"2223597","430510",2014,13,1154
"2223597","430510",2015,5,997
"2223597","430510",2016,8,1293
"2223597","430510",2017,6,1411
"2223597","430510",2018,14,1317
"2223597","430510",2019,0,54
"2224305","431365",2010,0,1
"2224305","431365",2013,0,1
"2224305","431365",2014,0,1
"2224305","431365",2015,0,1
"2224305","431365",2017,0,1
"2224356","432380",2010,0,1
"2224356","432380",2013,0,1
"2224607","431365",2010,0,7
"2224607","431365",2011,0,4
"2224607","431365",2012,0,7
"2224607","431365",2013,0,1
"2224607","431365",2014,0,1
"2224607","431365",2015,0,2
"2224607","431365",2016,0,6
"2224607","431365",2017,0,1
"2224615","431250",2010,1,26
"2224615","431250",2011,0,13
"2224615","431250",2012,0,2
"2224615","431250",2013,0,15
"2224615","431250",2014,0,9
"2224615","431250",2015,0,10
"2224615","431250",2016,0,14
"2224615","431250",2017,0,2
"2224615","431250",2018,0,4
"2224615","431250",2019,0,1
"2224836","430517",2010,0,1
"2224836","430517",2013,0,2
"2224836","430517",2016,0,1
"2224836","430517",2019,0,1
"2224844","430544",2010,0,1
"2224844","430544",2015,0,2
"2224844","430544",2017,0,1
"2224909","430190",2010,0,1
"2224968","432170",2010,0,5
"2224968","432170",2011,0,1
"2225328","430930",2010,1,228
"2225328","430930",2011,1,237
"2225328","430930",2012,0,240
"2225328","430930",2013,0,255
"2225328","430930",2014,1,273
"2225328","430930",2015,0,304
"2225328","430930",2016,0,252
"2225328","430930",2017,0,25
"2225328","430930",2018,0,1
"2226049","431198",2010,0,1
"2227665","431010",2010,7,682
"2227665","431010",2011,4,723
"2227665","431010",2012,5,781
"2227665","431010",2013,8,725
"2227665","431010",2014,4,654
"2227665","431010",2015,0,536
"2227665","431010",2016,6,584
"2227665","431010",2017,3,612
"2227665","431010",2018,3,525
"2227665","431010",2019,3,614
"2227673","432200",2010,3,299
"2227673","432200",2011,3,297
"2227673","432200",2012,1,268
"2227673","432200",2013,2,198
"2227673","432200",2014,6,302
"2227673","432200",2015,2,293
"2227673","432200",2016,3,312
"2227673","432200",2017,0,77
"2227673","432200",2018,0,4
"2227673","432200",2019,0,2
"2227681","431650",2010,1,86
"2227681","431650",2011,2,64
"2227681","431650",2012,0,36
"2227681","431650",2013,0,3
"2227681","431650",2016,0,1
"2227681","431650",2017,0,1
"2227703","431575",2010,0,6
"2227703","431575",2011,0,8
"2227703","431575",2012,0,3
"2227703","431575",2014,0,1
"2227703","431575",2017,0,1
"2227711","430650",2010,0,102
"2227711","430650",2011,0,2
"2227711","430650",2015,1,4
"2227711","430650",2016,0,1
"2227711","430650",2017,0,1
"2227711","430650",2019,0,2
"2227738","430110",2010,0,2
"2227738","430110",2011,0,1
"2227738","430110",2012,0,1
"2227738","430110",2013,0,1
"2227738","430110",2015,1,3
"2227738","430110",2016,0,1
"2227754","430360",2010,0,52
"2227754","430360",2011,0,2
"2227754","430360",2012,0,36
"2227754","430360",2013,0,13
"2227762","431405",2010,6,681
"2227762","431405",2011,7,660
"2227762","431405",2012,9,611
"2227762","431405",2013,6,534
"2227762","431405",2014,9,738
"2227762","431405",2015,6,1021
"2227762","431405",2016,8,1149
"2227762","431405",2017,17,1226
"2227762","431405",2018,3,1384
"2227762","431405",2019,11,1379
"2227770","431820",2010,0,220
"2227770","431820",2011,0,217
"2227770","431820",2012,0,233
"2227770","431820",2013,0,235
"2227770","431820",2014,1,258
"2227770","431820",2015,0,234
"2227770","431820",2016,0,224
"2227770","431820",2017,0,187
"2227770","431820",2018,0,34
"2227770","431820",2019,1,13
"2227886","431840",2010,4,835
"2227886","431840",2011,3,851
"2227886","431840",2012,9,860
"2227886","431840",2013,2,965
"2227886","431840",2014,4,1019
"2227886","431840",2015,3,1047
"2227886","431840",2016,5,960
"2227886","431840",2017,6,1131
"2227886","431840",2018,6,1139
"2227886","431840",2019,2,1118
"2227908","431950",2010,3,306
"2227908","431950",2011,0,221
"2227908","431950",2012,2,195
"2227908","431950",2013,0,223
"2227908","431950",2014,1,200
"2227908","431950",2015,1,195
"2227908","431950",2016,0,168
"2227908","431950",2017,0,140
"2227908","431950",2018,3,148
"2227908","431950",2019,1,160
"2227932","432120",2010,6,283
"2227932","432120",2011,1,440
"2227932","432120",2012,0,533
"2227932","432120",2013,5,759
"2227932","432120",2014,2,596
"2227932","432120",2015,1,694
"2227932","432120",2016,0,542
"2227932","432120",2017,2,522
"2227932","432120",2018,2,579
"2227932","432120",2019,3,375
"2227959","431240",2010,4,473
"2227959","431240",2011,4,453
"2227959","431240",2012,2,485
"2227959","431240",2013,0,497
"2227959","431240",2014,10,539
"2227959","431240",2015,4,558
"2227959","431240",2016,3,628
"2227959","431240",2017,2,640
"2227959","431240",2018,1,667
"2227959","431240",2019,4,646
"2228548","430340",2010,0,47
"2228548","430340",2011,1,28
"2228548","430340",2012,1,41
"2228548","430340",2013,0,26
"2228548","430340",2014,0,26
"2228548","430340",2015,0,23
"2228548","430340",2016,0,12
"2228556","431470",2010,1,126
"2228556","431470",2011,2,118
"2228556","431470",2012,0,114
"2228556","431470",2013,0,100
"2228556","431470",2014,2,127
"2228556","431470",2015,0,104
"2228556","431470",2016,0,98
"2228556","431470",2017,1,141
"2228556","431470",2018,0,140
"2228556","431470",2019,0,102
"2228564","430050",2010,0,71
"2228564","430050",2011,0,64
"2228564","430050",2012,1,60
"2228564","430050",2013,0,43
"2228564","430050",2014,0,33
"2228564","430050",2015,0,36
"2228564","430050",2016,0,51
"2228564","430050",2017,0,44
"2228564","430050",2018,0,34
"2228580","431380",2010,1,209
"2228580","431380",2011,1,190
"2228580","431380",2012,0,171
"2228580","431380",2013,1,193
"2228580","431380",2014,1,205
"2228580","431380",2015,1,222
"2228580","431380",2016,1,212
"2228580","431380",2017,1,203
"2228580","431380",2018,1,82
"2228580","431380",2019,0,4
"2228602","430850",2010,0,406
"2228602","430850",2011,1,444
"2228602","430850",2012,0,459
"2228602","430850",2013,4,496
"2228602","430850",2014,1,481
"2228602","430850",2015,7,501
"2228602","430850",2016,4,445
"2228602","430850",2017,1,416
"2228602","430850",2018,1,562
"2228602","430850",2019,2,523
"2228610","432020",2010,2,274
"2228610","432020",2011,0,255
"2228610","432020",2012,3,221
"2228610","432020",2013,4,397
"2228610","432020",2014,5,322
"2228610","432020",2015,1,378
"2228610","432020",2016,0,379
"2228610","432020",2017,2,435
"2228610","432020",2018,0,438
"2228610","432020",2019,1,565
"2228629","430064",2010,0,54
"2228629","430064",2011,0,50
"2228629","430064",2012,0,41
"2228629","430064",2013,0,4
"2228653","431050",2010,0,93
"2228653","431050",2011,0,90
"2228653","431050",2012,0,84
"2228653","431050",2013,0,81
"2228653","431050",2014,0,77
"2228653","431050",2015,1,67
"2228653","431050",2016,0,57
"2228653","431050",2017,0,69
